Z,element,variante_token,p_NULL,rang_NULL,p_ADRESSE,rang_ADRESSE,p_DESCRIPTION,rang_DESCRIPTION,p_NUE,rang_NUE,p_VERALUME,rang_VERALUME,p_BRUIT,rang_BRUIT,retenu,cos_ADRESSE_vs_DESCRIPTION,cos_NUE_vs_DESCRIPTION,cos_VERALUME_vs_DESCRIPTION,cos_BRUIT_vs_DESCRIPTION,ratio_tokens
1,Hydrogène, Hydrogène,0.0010530708445830408,91,0.014435955212723927,7,0.4675505690690538,1,0.00024611152738568745,569,2.180746430689906e-05,2396,2.384854415926698e-05,1934,True,0.8070100545883179,-0.05347296595573425,0.7208860516548157,0.7369845509529114,3.0833333333333335
6,Carbone, carbone,0.00026625800669813907,549,0.0007873612397993881,128,0.37527465226887197,1,0.00027256667457565154,496,3.595443026281831e-05,1677,0.00031908999338731847,256,True,0.9315053224563599,-0.023157283663749695,0.7353411316871643,0.7523780465126038,2.8333333333333335
8,Oxygène, Oxygène,0.003912632846610321,22,0.021472423930153122,8,0.12647258527022054,1,0.0034804489443781366,25,0.0007450879838908774,97,0.000634586226018126,151,True,0.9278874397277832,-0.12224361300468445,0.711403489112854,0.6904203295707703,2.8333333333333335
11,Sodium, Sodium,0.00010106014035357988,1458,0.01684269137062275,11,0.3545382554800349,1,1.6929077508613345e-05,6163,3.0929561319390377e-06,7944,2.083862564815229e-06,7972,True,0.9165797829627991,-0.022063370794057846,0.7348394393920898,0.7334651947021484,3.1538461538461537
17,Chlore, Chlore,0.0028625433409100996,27,0.0030047671585595125,51,0.08606346104151653,3,0.0034281827002356634,25,0.0020253591272137578,41,0.0007190804003499549,132,True,0.9007170796394348,-0.0038826540112495422,0.7326444387435913,0.7137414813041687,2.769230769230769
19,Potassium, Potassium,0.0004123884680280077,317,0.007362666732311821,32,0.024254099685316766,6,0.0001781535120525464,774,7.853169573246134e-05,842,5.664525742943297e-06,4659,False,0.8961616158485413,-0.003392714075744152,0.719970703125,0.706555962562561,2.8461538461538463
26,Fer, fer,8.120410407428622e-05,1823,0.002648609248364064,64,0.12612626588482787,1,4.048989650015139e-05,3184,0.00012549329245738078,545,8.86080909953695e-05,750,True,0.9128895998001099,0.11834751069545746,0.7300322651863098,0.7055737376213074,2.769230769230769
29,Cuivre, CUIVRE,0.014537194597230919,2,0.004346078516746125,49,0.007177960985428577,29,0.012992960743568599,3,0.005860570955996987,17,0.0038873119173619187,37,False,0.9301056861877441,0.05086550861597061,0.7096523642539978,0.6996725797653198,2.3076923076923075
30,Zinc, Zinc,9.2016304914455e-05,1614,0.03461316772983216,3,0.0525291986690818,3,2.240025837491921e-05,5137,4.294144328627163e-06,6654,3.482483772469901e-07,19020,True,0.9011634588241577,-0.045919500291347504,0.7062628269195557,0.6800693273544312,2.769230769230769
47,Argent, Argent,0.00011815127425984936,1255,0.018561840949057083,13,0.017924651910209807,13,0.0001054264076783444,1360,0.00016113657713910496,432,2.876683536955988e-05,1698,False,0.9282168745994568,0.10457511991262436,0.6904870271682739,0.6647959351539612,2.4615384615384617
79,Or, or,7.87057164446741e-05,1893,0.00028513982070134625,214,0.02720394596961993,10,4.295244172029377e-05,3111,4.3369321383708584e-05,1455,3.4699427002876506e-05,1503,False,0.9530315399169922,0.05020688474178314,0.710303783416748,0.6981300115585327,2.230769230769231
82,Plomb, Plomb,0.00163102803069845,51,0.07675047881399945,4,0.03396250135567865,2,0.0008046792901934969,125,0.0003746537666670369,181,0.0007190804003499549,132,True,0.8933881521224976,0.06686418503522873,0.6911723613739014,0.6612492203712463,2.5384615384615383
