Z,element,variante,rang_NULL,rang_PERIPHRASE,tok_PERIPHRASE,p_PERIPHRASE,rang_ADRESSE,tok_ADRESSE,p_ADRESSE,rang_NUE,tok_NUE,p_NUE,rang_TUPLE,tok_TUPLE,p_TUPLE,rang_SPDF,tok_SPDF,p_SPDF,rang_ARBRE,tok_ARBRE,p_ARBRE,retenu
1,Hydrogène, Hydrogène,25,1,14,0.6690733934810857,3,5,0.02565086545313686,1141,2,0.00010668653765234948,6505,7,7.898102511593255e-06,1,4,0.53464185944196,3710,17,1.8307507976734223e-05,True
6,Carbone, carbone,132,2,17,0.09241705504689718,42,5,0.004727953524231616,145,2,0.0007909696067942596,112,9,0.0007581289281614524,1,12,0.14982218350749615,172,31,0.000716590580764405,True
8,Oxygène, Oxygène,22,6,17,0.07192664851174099,1,5,0.2035787559110627,31,2,0.0036548680428782486,49,9,0.001594824024164506,4,12,0.06948574843298037,132,31,0.0009074065196344121,False
11,Sodium, sodium,102,1,20,0.17867081852462166,2,6,0.07072537813885034,1786,3,7.367997574292444e-05,2257,12,9.382494195195913e-06,9,16,0.028287486349662178,8557,40,6.123702981050085e-06,True
17,Chlore, Chlore,25,5,17,0.03596748297527122,4,6,0.04865040571494724,29,3,0.0035173470379980367,39,12,0.0015516798392206873,3,20,0.13338178238886242,39,45,0.0029154603512485475,True
19,Potassium, potassium,321,7,20,0.03850774917907679,22,6,0.007779823123080749,3948,3,3.274243898099258e-05,3123,15,1.137228044823048e-05,6,24,0.03501536588950935,15277,54,2.4152558609826357e-06,False
26,Fer, Fer,85,27,22,0.007031853483269834,1,6,0.20930334140175333,71,3,0.001450424274432794,894,16,5.246602334062002e-05,17,28,0.010834201942228687,250,60,0.0004714144696270167,False
29,Cuivre, cuivre,280,3,14,0.04673031779722016,6,6,0.038853180636822165,273,3,0.00038042017229821185,47,16,0.0012184171338023787,63,29,0.0024862227685052665,614,61,0.00017932438899481714,True
30,Zinc, zinc,217,10,23,0.018584801291880483,21,6,0.009047861041656488,253,3,0.00038999163743858386,3592,16,9.260238001829024e-06,18,29,0.013478811656019704,13102,61,2.507165975091725e-06,False
47,Argent, argent,1005,20,16,0.0013280298862833198,66,6,0.0020187929242704464,454,3,0.00024773282433788703,544,20,0.00015277186512246288,321,13,8.437563715783679e-05,1857,82,5.5005213816207394e-05,False
79,Or, Or,206,1,20,0.501085085222167,108,6,0.00045194542816561276,259,3,0.0004295696970414157,2034,24,1.3714043887288278e-05,94,18,0.0006325515224294307,56,110,0.001917796428695579,True
82,Plomb, Plomb,61,43,16,0.003102412758632777,4,6,0.045252758574574926,79,3,0.001393248736027206,195,24,0.0002532612916042928,130,22,0.00039561004081727406,62,115,0.0017472587869241803,False
