Z,element,cible_L,cible_S,rang_NULL_L,rang_NULL_S,rang_L->L,tok_L->L,p_L->L,rang_L->S,tok_L->S,p_L->S,rang_S->L,tok_S->L,p_S->L,rang_S->S,tok_S->S,p_S->S,rang_ADRESSE->L,tok_ADRESSE->L,p_ADRESSE->L,rang_ADRESSE->S,tok_ADRESSE->S,p_ADRESSE->S,rang_NUE->L,tok_NUE->L,p_NUE->L,rang_NUE->S,tok_NUE->S,p_NUE->S,retenu
1,Hydrogène, Hydrogène, H,25,49,1,14,0.6690733934810857,39,13,0.0030071436547813722,1,4,0.53464185944196,7,3,0.01368968810070537,3,5,0.02565086545313686,19,4,0.0053463414532651295,1141,2,0.00010668653765234948,32,1,0.001931097681544318,True
6,Carbone, carbone, C,132,19,2,17,0.09241705504689718,8,16,0.0121147159678115,1,12,0.14982218350749615,20,11,0.002752340258264087,42,5,0.004727953524231616,8,4,0.013642320011016276,145,2,0.0007909696067942596,6,1,0.005300321233379311,True
8,Oxygène, Oxygène, O,22,65,6,17,0.07192664851174099,2,16,0.060330738729424134,4,12,0.06948574843298037,22,11,0.0018230327153049438,1,5,0.2035787559110627,59,4,0.0009535243167321839,31,2,0.0036548680428782486,69,1,0.00033896295565693764,False
11,Sodium, sodium, Na,102,2625,1,20,0.17867081852462166,51,19,0.002376413417857794,9,16,0.028287486349662178,10,15,0.010594078360576685,2,6,0.07072537813885034,1684,5,1.2055026792009304e-05,1786,3,7.367997574292444e-05,260,2,0.00010963364600610474,True
17,Chlore, Chlore, Cl,25,421,5,17,0.03596748297527122,83,16,0.0018788160941681728,3,20,0.13338178238886242,2,19,0.18929608605925752,4,6,0.04865040571494724,519,5,5.7203573053644096e-05,29,3,0.0035173470379980367,681,2,4.7176997826302606e-05,True
19,Potassium, potassium, K,321,59,7,20,0.03850774917907679,106,19,0.0011840360742453662,6,24,0.03501536588950935,3,23,0.059573340985380765,22,6,0.007779823123080749,30,5,0.0032420567355508916,3948,3,3.274243898099258e-05,29,2,0.0013692403477055888,False
26,Fer, Fer, Fe,85,1072,27,22,0.007031853483269834,30,21,0.0030329336516694383,17,28,0.010834201942228687,2,27,0.13014582931158225,1,6,0.20930334140175333,1686,5,1.3324674438016285e-05,71,3,0.001450424274432794,819,2,3.433640129134724e-05,False
29,Cuivre, cuivre, Cu,280,7540,3,14,0.04673031779722016,7,13,0.006375382415428292,63,29,0.0024862227685052665,11,28,0.015712182973299547,6,6,0.038853180636822165,989,5,2.8765216797764904e-05,273,3,0.00038042017229821185,2073,2,1.2505083639458384e-05,True
30,Zinc, zinc, Zn,217,100,10,23,0.018584801291880483,222,22,0.0003372530339394111,18,29,0.013478811656019704,7,28,0.020743331004492275,21,6,0.009047861041656488,2,5,0.14726306485349058,253,3,0.00038999163743858386,83,2,0.00038441453032347987,False
47,Argent, argent, Ag,1005,1571,20,16,0.0013280298862833198,931,15,5.6094962403109194e-05,321,13,8.437563715783679e-05,205,12,7.609741812328576e-06,66,6,0.0020187929242704464,1456,5,1.606974395573252e-05,454,3,0.00024773282433788703,1157,2,1.9641594713755893e-05,False
79,Or, Au, Au,258,13648,22,20,0.004614833541262338,6,19,0.00935854102800719,63,18,0.0012979114513921837,23,17,0.0006117206880360269,1,6,0.35144607256877136,436,5,0.00010444149825533227,129,3,0.0008814197882565775,2032,2,8.996128499224035e-06,False
82,Plomb, Plomb,Pb,61,170,43,16,0.003102412758632777,1318,15,7.342317790545681e-05,130,22,0.00039561004081727406,440,21,1.2584570057927495e-05,4,6,0.045252758574574926,390,5,0.00010042268817707683,79,3,0.001393248736027206,723,2,2.5581971226273516e-05,False
